date,temperature
2018/2/28,11.3
2018/3/1,12.5
2018/3/2,8.6
2018/3/3,9.7
2018/3/4,14.4
2018/3/5,13.1
2018/3/6,8
2018/3/7,8
2018/3/8,11.6
2018/3/9,7.4
2018/3/10,6.1
2018/3/11,7.4
2018/3/12,9.6
2018/3/13,12.8
2018/3/14,15.6
2018/3/15,16.4
2018/3/16,10.2
2018/3/17,8.5
2018/3/18,11.8
2018/3/19,13.9
2018/3/20,8.3
2018/3/21,8.8
2018/3/22,10
2018/3/23,8.9
2018/3/24,10.3
2018/3/25,13.1
2018/3/26,14.7
2018/3/27,15.8
2018/3/28,17.6
2018/3/29,17.5
2018/3/30,13.1
2018/3/31,13
2018/4/1,16.4
2018/4/2,18.9
2018/4/3,19.7
2018/4/4,18.2
2018/4/5,14.9
2018/4/6,17.3
2018/4/7,11
2018/4/8,9.3
2018/4/9,12
2018/4/10,15.3
2018/4/11,19.1
2018/4/12,18.5
2018/4/13,14.6
2018/4/14,14.4
2018/4/15,14.3
2018/4/16,13.8
2018/4/17,14.2
2018/4/18,16.2
2018/4/19,17.6
2018/4/20,20.2
2018/4/21,20.2
2018/4/22,20.3
2018/4/23,20.7
2018/4/24,19.3
2018/4/25,16.7
2018/4/26,17
2018/4/27,18
2018/4/28,18.4
2018/4/29,19.6
2018/4/30,19.8
2018/5/1,21.3
2018/5/2,20
2018/5/3,18.9
2018/5/4,16.3
2018/5/5,18.8
2018/5/6,19.3
2018/5/7,17.6
2018/5/8,16.9
2018/5/9,15.8
2018/5/10,14.6
2018/5/11,17
2018/5/12,19.3
2018/5/13,18.1
2018/5/14,21.1
2018/5/15,21.8
2018/5/16,23.2
2018/5/17,23.6
2018/5/18,24.1
2018/5/19,17.3
2018/5/20,18
2018/5/21,20.9
2018/5/22,21.4
2018/5/23,19
2018/5/24,21.6
2018/5/25,23.6
2018/5/26,22.9
2018/5/27,23.1
2018/5/28,23.4
2018/5/29,23.4
2018/5/30,19.9
2018/5/31,19.7
2018/6/1,21
2018/6/2,21.8
2018/6/3,23.2
2018/6/4,23.7
2018/6/5,22.6
2018/6/6,19.3
2018/6/7,22.8
2018/6/8,23.5
2018/6/9,24.2
2018/6/10,21.7
2018/6/11,23.2
2018/6/12,21.8
2018/6/13,21.2
2018/6/14,21.8
2018/6/15,20.3
2018/6/16,20.9
2018/6/17,22.7
2018/6/18,23.5
2018/6/19,23
2018/6/20,21.7
2018/6/21,23.2
2018/6/22,24.9
2018/6/23,21.4
2018/6/24,23.7
2018/6/25,26.6
2018/6/26,27.6
2018/6/27,29.2
2018/6/28,28.7
2018/6/29,26.7
2018/6/30,27.3
2018/7/1,28.9
2018/7/2,28.8
2018/7/3,29.2
2018/7/4,28.2
2018/7/5,25.6
2018/7/6,24.1
2018/7/7,24.4
2018/7/8,26.8
2018/7/9,28
2018/7/10,28.6
2018/7/11,29.1
2018/7/12,29.5
2018/7/13,30.1
2018/7/14,31.5
2018/7/15,31.2
2018/7/16,31.4
2018/7/17,30.8
2018/7/18,32
2018/7/19,31.9
2018/7/20,30.8
2018/7/21,30.7
2018/7/22,30.8
2018/7/23,32
2018/7/24,32
2018/7/25,30.7
2018/7/26,30.7
2018/7/27,29.1
2018/7/28,28.7
2018/7/29,27.9
2018/7/30,29.5
2018/7/31,30.4
2018/8/1,30.2
2018/8/2,30.7
2018/8/3,31.3
2018/8/4,31.5
2018/8/5,32
2018/8/6,31.6
2018/8/7,29.5
2018/8/8,27.5
2018/8/9,28.7
2018/8/10,29.5
2018/8/11,30.3
2018/8/12,30.6
2018/8/13,31
2018/8/14,30.4
2018/8/15,29.5
2018/8/16,28.8
2018/8/17,25.8
2018/8/18,25.9
2018/8/19,27.2
2018/8/20,28.3
2018/8/21,30.1
2018/8/22,31.3
2018/8/23,30.1
2018/8/24,30.2
2018/8/25,30.6
2018/8/26,29.8
2018/8/27,30
2018/8/28,29.6
2018/8/29,29.8
2018/8/30,29.8
2018/8/31,29.6
2018/9/1,26.1
2018/9/2,26.3
2018/9/3,28.1
2018/9/4,26.9
2018/9/5,27.6
2018/9/6,27
2018/9/7,26.5
2018/9/8,23.2
2018/9/9,24.2
2018/9/10,23.5
2018/9/11,24.5
2018/9/12,22.2
2018/9/13,23.5
2018/9/14,23
2018/9/15,25
2018/9/16,27.6
2018/9/17,25.3
2018/9/18,25
2018/9/19,25.2
2018/9/20,20.6
2018/9/21,22.6
2018/9/22,24.8
2018/9/23,24.1
2018/9/24,24.4
2018/9/25,21.7
2018/9/26,19.7
2018/9/27,19.7
2018/9/28,21.6
2018/9/29,18.9
2018/9/30,22.8
2018/10/1,22.6
2018/10/2,21.2
2018/10/3,22
2018/10/4,20
2018/10/5,23.6
2018/10/6,27
2018/10/7,25.1
2018/10/8,23.2
2018/10/9,22.8
2018/10/10,20.7
2018/10/11,19.3
2018/10/12,18.1
2018/10/13,18.3
2018/10/14,20.1
2018/10/15,19.6
2018/10/16,19.2
2018/10/17,19.3
2018/10/18,19.3
2018/10/19,19.1
2018/10/20,17.3
2018/10/21,17
2018/10/22,18.2
2018/10/23,17.8
2018/10/24,18.4
2018/10/25,17.2
2018/10/26,18.8
2018/10/27,19
2018/10/28,17.4
2018/10/29,17.5
2018/10/30,17.1
2018/10/31,14.5
2018/11/1,13.9
2018/11/2,14.2
2018/11/3,15.6
2018/11/4,16.5
2018/11/5,18.1
2018/11/6,18.2
2018/11/7,17.8
2018/11/8,18.4
